tradingsymbol,instrument_token,avg_volume
MONQ50,1900033,142100
HECPROJECT,1900801,10940
NIFTY50ADD,1907457,18520
MIDQ50ADD,1908737,6251
WOCKPHARMA,1921537,407239
ZENTEC,1922049,433645
TREJHARA,1924609,0
LCCINFOTEC,1927425,85288
NRBBEARING,1933569,134944
CMSINFO,1946369,491408
IMAGICAA,1964033,483970
MONARCH,1965825,108477
BCONCEPTS,1991681,0
UNIINFO,1994497,5868
WEL,2005761,374268
BIL,2009089,6190
RAMCOSYS,2009857,43883
INOXWIND,2010113,6524038
GVPIL,2012673,302012
AUTOBEES,2017281,268118
MHLXMIRU,2018817,4902
LFIC,2022913,4820
BYKE,2027265,40546
ZYDUSLIFE,2029825,855739
AVANTIFEED,2031617,403006
MALLCOM,2039041,7736
MAKEINDIA,2042625,26334
GRWRHITECH,2043393,72118
MAHLIFE,2060801,211202
KTKBANK,2061825,1009435
DALBHARAT,2067201,290711
MIDCAP,2067713,51033
CROWN,2069249,17101
AWL,2076161,1239765
RPSGVENT,2078465,34304
AJANTPHARM,2079745,94986
BLBLIMITED,2081793,106020
DEVIT,2085377,99545
MEGASTAR,2087169,0
FIBERWEB,2088705,45094
SPENCERS,2089729,103116
MANYAVAR,2090753,150321
SAGARDEEP,2092801,11102
MOMOMENTUM,2094593,85659
SOFTTECH,2116097,6685
PRITI,2125825,42809
BLUESTARCO,2127617,436486
GSEC5IETF,2135553,10690
MIDCAPETF,2153729,2297002
VIPULLTD,2156545,339630
MITCON,2168065,22539
XELPMOC,2170113,0
TVSMOTOR,2170625,857085
MID150BEES,2177537,595312
GATEWAY,2178561,685747
GMRP&UI,2183425,1890173
CHALET,2187777,172940
NLCINDIA,2197761,1946336
AKSHOPTFBR,2199297,195497
MSUMI,2200577,4530971
LOWVOL1,2209793,152414
VETO,2214913,36808
MOLOWVOL,2215425,34203
DIL,2216193,268545
MUKTAARTS,2223873,6435
VRLLOG,2226177,240801
SHAILY,2234113,227534
PNBGILTS,2236417,420200
OBCL,2252033,10795
SONAMLTD,2254337,57400
PRIVISCL,2259201,122291
AVROIND,2259713,26042
GAEL,2259969,412803
BCG,2261249,7287411
USHAMART,2263041,608997
CHOICEIN,2269697,429989
TNIDETF,2273793,52689
VERANDA,2275841,430685
E2E,2287873,94810
RITCO,2289665,49663
ELDEHSG,2291969,2875
TTML,2292225,772913
HARDWYN,2294273,463638
HARIOMPIPE,2295809,148437
ANUP,2307585,27018
UFO,2313985,165328
ROTO,2316545,187379
PIXTRANS,2326273,12694
ARVINDFASN,2332417,269601
INDOAMIN,2333697,62603
TIPSMUSIC,2333953,201078
BALAJITELE,2344449,113139
UTISXN50,2347009,4015
TPLPLASTEH,2360065,30438
NILAINFRA,2368769,499307
ARROWGREEN,2370561,55456
KRITIKA,2377729,187951
STARTECK,2382081,12486
STLTECH,2383105,1316845
IOB,2393089,5805869
TAJGVK,2394625,194153
MSTCLTD,2395137,263869
CAMPUS,2396673,306515
TRU,2400769,257192
CREATIVEYE,2402305,14836
PNCINFRA,2402561,202538
RAINBOW,2408449,150593
SKIPPER,2413569,295942
AXISCADES,2415617,0
LICI,2426881,958189
RVNL,2445313,3998076
PRUDENT,2445569,26017
AKSHAR,2446849,0
MAHESHWARI,2451457,7915
METROPOLIS,2452737,61355
POLYCAB,2455041,233450
VENUSPIPES,2455553,39885
DELHIVERY,2457345,2996453
SPLPETRO,2461953,99973
KHANDSE,2468097,14664
RELCHEMQ,2470913,6435
MEDICO,2474753,0
HIKAL,2475009,179007
KPITTECH,2478849,903859
TRIDENT,2479361,4012581
PARADEEP,2493697,6795480
ETHOSLTD,2496001,30758
EMUDHRA,2497537,86339
AETHER,2511361,95906
HAVELLS,2513665,755755
NV20BEES,2520833,52172
WEWIN,2524673,0
NEXTMEDIA,2525953,9863
GOLDTECH,2527745,33118
CHEVIOT,2529025,1718
SMARTLINK,2531585,5414
AIRAN,2533633,81832
AXITA,2534913,1622299
NEOGEN,2538753,43242
ALANKIT,2539777,271839
VIKASLIFE,2542337,3660104
ONEPOINT,2544385,418933
EMAMIPAP,2578945,39577
GODREJCP,2585345,1309324
ORICONENT,2600705,390633
SETFNIF50,2605057,441047
BALKRISHNA,2606337,38592
SHYAMCENT,2608129,161591
ADANIENSOL,2615553,1587346
MANORAMA,2618113,133432
CONFIPET,2620929,457415
SYNGENE,2622209,716135
NGLFINE,2630913,2637
AYMSYNTEX,2632961,18270
PPL,2636033,58888
RAMASTEEL,2636801,11305013
AURUM,2639361,138038
RADHIKAJWE,2647809,355215
CSLFINANCE,2649601,11891
JISLJALEQS,2661633,2086093
STEELCITY,2663937,5816
KSHITIJPOL,2664193,161245
MUTHOOTCAP,2666241,31182
DYCL,2666753,272797
LUPIN,2672641,888066
UNITDSPR,2674433,1033928
SATIN,2675969,168262
ARVSMART,2676993,47360
POWERMECH,2681089,64447
RAMRAT,2684161,54304
MOHEALTH,2690049,47823
UTINIFTETF,2690817,84450
CONS,2691073,7444
UTISENSETF,2691841,1520
SHARDAMOTR,2695681,81381
NAVKARCORP,2702593,478682
NIFTYBEES,2707457,3995259
KRBL,2707713,1118452
MPSLTD,2707969,19016
MARKSANS,2708225,1356005
TCI,2708481,20532
MOM30IETF,2709761,833126
SHREEPUSHK,2710529,127506
GUJGASLTD,2713345,267541
BHARTIARTL,2714625,6630619
HDFCNEXT50,2718465,66637
HDFCNIF100,2722049,59010
ASAL,2722305,32384
OLECTRA,2723073,356500
PONNIERODE,2729217,14273
PNB,2730497,13501177
MNC,2733057,68680
NIFTYQLITY,2736641,76663
MOMENTUM,2737409,50325
SURANAT&P,2739201,168870
INFRAIETF,2745089,127560
INDIAMART,2745857,85503
SPORTKING,2747649,146098
OFSS,2748929,126725
UNIONBANK,2752769,10075624
APTECHT,2753281,59494
OAL,2756609,10889
NUCLEUS,2762497,17298
SYRMA,2763009,1523123
CANBK,2763265,20737536
MOQUALITY,2770433,1228
MOVALUE,2771201,63585
GVPTECH,2781441,47505
GRMOVER,2782977,747642
DBOL,2788609,57955
GENESYS,2791681,147151
GODREJIND,2796801,117287
RADAAN,2798593,38027
JUNIORBEES,2800385,244044
DIVISLAB,2800641,384955
TMB,2801921,67067
RADICO,2813441,300697
INDORAMA,2814209,121468
